 1.    3507 	->	7  0  5  3  
 2.    4411 	->	1  1  4  4  
 3.    5811 	->	1  1  8  5  
 4.    3639 	->	9  3  6  3  
 5.    6160 	->	0  6  1  6  
 6.    2733 	->	3  3  7  2  
 7.    3699 	->	9  9  6  3  
 8.    5596 	->	6  9  5  5  
 9.    7357 	->	7  5  3  7  
10.    5520 	->	0  2  5  5  
11.    5277 	->	7  7  2  5  
12.    4231 	->	1  3  2  4  
13.    6409 	->	9  0  4  6  
14.    7118 	->	8  1  1  7  
15.    4148 	->	8  4  1  4  
16.    6856 	->	6  5  8  6  
17.    5007 	->	7  0  0  5  
18.    6532 	->	2  3  5  6  
19.    5408 	->	8  0  4  5  
20.    5597 	->	7  9  5  5  
